1609E: rating=2400, count=50
1641D: rating=2700, count=47
1615E: rating=2400, count=46
1696F: rating=2600, count=44
1672F2: rating=2800, count=44
1656F: rating=2600, count=44
1556F: rating=2500, count=44
1672H: rating=2700, count=43
1515F: rating=2600, count=43
1693D: rating=2800, count=41
1628D2: rating=2400, count=41
526F: rating=3000, count=41
1648D: rating=2800, count=41
1630D: rating=2400, count=40
438E: rating=3100, count=40
1601D: rating=2700, count=40
700E: rating=3300, count=40
1710C: rating=2500, count=40
1637F: rating=2500, count=39
1528D: rating=2500, count=39
1515G: rating=2700, count=39
1654F: rating=2800, count=39
1586F: rating=2500, count=39
666E: rating=3100, count=39
1603D: rating=3000, count=38
1523E: rating=2600, count=38
1491E: rating=2400, count=38
1458D: rating=3100, count=38
1442D: rating=2800, count=38
547E: rating=2800, count=38
521D: rating=2800, count=38
1707C: rating=2400, count=37
1553H: rating=2900, count=37
1508C: rating=2500, count=37
605E: rating=2700, count=37
1580B: rating=2600, count=37
1558D: rating=2600, count=37
1770E: rating=2400, count=36
1609F: rating=2800, count=36
1523D: rating=2400, count=36
1404D: rating=2800, count=36
1375E: rating=2500, count=36
573E: rating=3200, count=36
1588D: rating=2600, count=36
547D: rating=2600, count=36
576E: rating=3300, count=36
487E: rating=3200, count=36
1718C: rating=2400, count=35
1707D: rating=3000, count=35
1684F: rating=2600, count=35
1637G: rating=3000, count=35
1621G: rating=3200, count=35
1615F: rating=2800, count=35
1495D: rating=2600, count=35
1408G: rating=2700, count=35
1368E: rating=2500, count=35
555E: rating=2800, count=35
1785D: rating=2400, count=35
1483D: rating=2400, count=35
521E: rating=3100, count=35
516D: rating=2800, count=35
997E: rating=3000, count=35
576D: rating=2700, count=35
1746E1: rating=2500, count=34
1738F: rating=2400, count=34
1704F: rating=2600, count=34
1610F: rating=3000, count=34
1548C: rating=2500, count=34
1553G: rating=2700, count=34
1503D: rating=2600, count=34
1500C: rating=2600, count=34
1491F: rating=2700, count=34
1458C: rating=2700, count=34
1375G: rating=2800, count=34
1710E: rating=2400, count=34
1442C: rating=2400, count=34
1278F: rating=2600, count=34
559E: rating=3000, count=34
1779F: rating=2500, count=33
1687C: rating=2500, count=33
1677D: rating=2500, count=33
1630E: rating=2900, count=33
1572B: rating=2500, count=33
1566F: rating=2600, count=33
1375F: rating=2600, count=33
1753D: rating=2400, count=33
1479C: rating=2500, count=33
1428F: rating=2400, count=33
1779E: rating=2400, count=32
1746F: rating=2800, count=32
1737E: rating=2500, count=32
1684G: rating=2800, count=32
1667C: rating=2400, count=32
1616H: rating=3000, count=32
1416D: rating=2600, count=32
1326E: rating=2400, count=32
575A: rating=2700, count=32
587F: rating=3000, count=32
603E: rating=3000, count=32
1677E: rating=2900, count=31
1667D: rating=2900, count=31
1621F: rating=2700, count=31
1503E: rating=3100, count=31
1408E: rating=2400, count=31
506E: rating=3000, count=31
932E: rating=2400, count=31
1285F: rating=2900, count=31
1270G: rating=2700, count=31
585F: rating=3200, count=31
585E: rating=2900, count=31
505E: rating=2900, count=31
1726E: rating=2400, count=30
1615H: rating=3000, count=30
1609G: rating=3000, count=30
1610I: rating=3100, count=30
1572C: rating=2700, count=30
