durationSeconds,name,type,phase,startTimeSeconds,frozen,id,relativeTimeSeconds
10800,Codeforces Round (Div. 1 + Div. 2),CF,BEFORE,1712414100,False,1951,-777732
7200,April Fools Day Contest 2024,ICPC,BEFORE,1711982100,False,1952,-345732
10800,"CodeTON Round 8 (Div. 1 + Div. 2, Rated, Prizes!)",CF,BEFORE,1711809300,False,1942,-172932
8100,Codeforces Round 937 (Div. 4),ICPC,BEFORE,1711637100,False,1950,-734
18000,"European Championship 2024 - Online Mirror (Unrated, ICPC Rules, Teams Preferred)",ICPC,FINISHED,1711274400,False,1949,361968
7200,Codeforces Round 936 (Div. 2),CF,FINISHED,1711118100,False,1946,518267
8100,Codeforces Round 935 (Div. 3),ICPC,FINISHED,1710835500,False,1945,800867
8700,Codeforces Round 934 (Div. 1),CF,FINISHED,1710599700,False,1943,1036667
8700,Codeforces Round 934 (Div. 2),CF,FINISHED,1710599700,False,1944,1036667
7200,Educational Codeforces Round 163 (Rated for Div. 2),ICPC,FINISHED,1710513300,False,1948,1123068
8100,Codeforces Round 933 (Div. 3),ICPC,FINISHED,1710167700,False,1941,1468667
18000,"XVIII Open Olympiad in Informatics - Final Stage, Day 2 (Unrated, Online Mirror, IOI rules)",IOI,FINISHED,1709975100,False,1940,1661268
18000,"XVIII Open Olympiad in Informatics - Final Stage, Day 1 (Unrated, Online Mirror, IOI rules)",IOI,FINISHED,1709888700,False,1939,1747668
7200,Codeforces Round 932 (Div. 2),CF,FINISHED,1709649300,False,1935,1987068
18000,"2024 ICPC Asia Pacific Championship - Online Mirror (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",ICPC,FINISHED,1709346900,False,1938,2289467
7200,Codeforces Round 931 (Div. 2),CF,FINISHED,1709303700,False,1934,2332668
7200,Codeforces Round 930 (Div. 1),CF,FINISHED,1709217300,False,1936,2419068
7200,Codeforces Round 930 (Div. 2),CF,FINISHED,1709217300,False,1937,2419068
8100,Codeforces Round 929 (Div. 3),ICPC,FINISHED,1709044500,False,1933,2591868
7200,Educational Codeforces Round 162 (Rated for Div. 2),ICPC,FINISHED,1708698900,False,1923,2937468
8100,Codeforces Round 928 (Div. 4),ICPC,FINISHED,1708353300,False,1926,3283068
8100,Codeforces Round 927 (Div. 3),ICPC,FINISHED,1708257900,False,1932,3378467
10800,think-cell Round 1,CF,FINISHED,1708180500,False,1930,3455867
7200,Codeforces Round 926 (Div. 2),CF,FINISHED,1708007700,False,1929,3628667
8100,Codeforces Round 925 (Div. 3),ICPC,FINISHED,1707834900,False,1931,3801468
7200,Codeforces Round 924 (Div. 2),CF,FINISHED,1707644100,False,1928,3992268
8100,Codeforces Round 923 (Div. 3),ICPC,FINISHED,1707230700,False,1927,4405668
7800,Codeforces Round 922 (Div. 2),CF,FINISHED,1706625300,False,1918,5011068
7200,Codeforces Round 921 (Div. 1),CF,FINISHED,1706366700,False,1924,5269668
7200,Codeforces Round 921 (Div. 2),CF,FINISHED,1706366700,False,1925,5269668
7200,Educational Codeforces Round 161 (Rated for Div. 2),ICPC,FINISHED,1705588500,False,1922,6047868
8100,Codeforces Round 920 (Div. 3),ICPC,FINISHED,1705329300,False,1921,6307068
7200,Codeforces Round 919 (Div. 2),CF,FINISHED,1705156500,False,1920,6479868
9000,Hello 2024,CF,FINISHED,1704551700,False,1919,7084668
7200,Good Bye 2023,CF,FINISHED,1703947800,False,1916,7688568
9000,Codeforces Round 918 (Div. 4),ICPC,FINISHED,1703774100,False,1915,7862268
7200,Codeforces Round 917 (Div. 2),CF,FINISHED,1703428500,False,1917,8207868
10800,Pinely Round 3 (Div. 1 + Div. 2),CF,FINISHED,1703342100,False,1909,8294268
9000,Codeforces Round 916 (Div. 3),ICPC,FINISHED,1702996500,False,1914,8639868
7200,Educational Codeforces Round 160 (Rated for Div. 2),ICPC,FINISHED,1702910100,False,1913,8726267
7200,Codeforces Round 915 (Div. 2),CF,FINISHED,1702737300,False,1905,8899068
18000,"2023-2024 ICPC, NERC, Northern Eurasia Onsite (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",ICPC,FINISHED,1702452900,False,1912,9183468
9000,"Kotlin Heroes: Episode 9 (Unrated, T-Shirts + Prizes!)",ICPC,FINISHED,1702305300,False,1910,9331068
7200,Codeforces Round 914 (Div. 2),CF,FINISHED,1702137900,False,1904,9498468
8100,Codeforces Round 913 (Div. 3),ICPC,FINISHED,1701787500,False,1907,9848868
7200,Educational Codeforces Round 159 (Rated for Div. 2),ICPC,FINISHED,1701614100,False,1902,10022268
18000,"2023-2024 ICPC, Asia Jakarta Regional Contest (Online Mirror, Unrated, ICPC Rules, Teams Preferred)",ICPC,FINISHED,1701578100,False,1906,10058268
864000,Kotlin Heroes: Practice 9 (release 2),ICPC,FINISHED,1701440700,False,1911,10195668
8100,Codeforces Round 912 (Div. 2),CF,FINISHED,1701362100,False,1903,10274268
7200,Codeforces Round 911 (Div. 2),CF,FINISHED,1701009300,False,1900,10627068
9000,"CodeTON Round 7 (Div. 1 + Div. 2, Rated, Prizes!)",CF,FINISHED,1700923800,False,1896,10712568
7200,Educational Codeforces Round 158 (Rated for Div. 2),ICPC,FINISHED,1700836500,False,1901,10799868
1209600,ICPC 2023 Online Challenge powered by Huawei,IOI,FINISHED,1700463600,False,1885,11172768
7200,Codeforces Round 910 (Div. 2),CF,FINISHED,1700404500,False,1898,11231868
8100,Codeforces Round 909 (Div. 3),ICPC,FINISHED,1700231700,False,1899,11404668
7200,Codeforces Round 908 (Div. 1),CF,FINISHED,1699367700,False,1893,12268668
7200,Codeforces Round 908 (Div. 2),CF,FINISHED,1699367700,False,1894,12268668
7200,Educational Codeforces Round 157 (Rated for Div. 2),ICPC,FINISHED,1699022100,False,1895,12614268
7200,Codeforces Round 907 (Div. 2),CF,FINISHED,1698676500,False,1891,12959868
9000,Codeforces Round 906 (Div. 1),CF,FINISHED,1698503700,False,1889,13132668
9000,Codeforces Round 906 (Div. 2),CF,FINISHED,1698503700,False,1890,13132668
7200,Codeforces Round 905 (Div. 1),CF,FINISHED,1697972700,False,1887,13663668
7200,Codeforces Round 905 (Div. 2),CF,FINISHED,1697972700,False,1888,13663668
7200,Codeforces Round 905 (Div. 3),CF,FINISHED,1697972700,False,1883,13663668
7200,Codeforces Round 904 (Div. 2),CF,FINISHED,1697958300,False,1884,13678068
8100,Codeforces Round 903 (Div. 3),ICPC,FINISHED,1697121300,False,1881,14515068
7200,Educational Codeforces Round 156 (Rated for Div. 2),ICPC,FINISHED,1696862100,False,1886,14774268
9000,"Codeforces Round 902 (Div. 1, based on COMPFEST 15 - Final Round)",CF,FINISHED,1696755900,False,1876,14880468
9000,"Codeforces Round 902 (Div. 2, based on COMPFEST 15 - Final Round)",CF,FINISHED,1696755900,False,1877,14880468
10800,Codeforces Round 901 (Div. 1),CF,FINISHED,1696084500,False,1874,15551868
10800,Codeforces Round 901 (Div. 2),CF,FINISHED,1696084500,False,1875,15551868
