name,type,rating,tags,contestId,points,solvedCount,index
Amanda the Amoeba,PROGRAMMING,,"['graphs', 'implementation', 'trees', 'two pointers']",1949,,193,J
Clique Partition,PROGRAMMING,2100,"['brute force', 'constructive algorithms', 'graphs', 'greedy', 'implementation']",1948,,2164,E
Array Fix,PROGRAMMING,1100,"['brute force', 'dp', 'greedy', 'implementation']",1948,,17820,B
Birthday Gift,PROGRAMMING,1900,"['bitmasks', 'brute force', 'constructive algorithms', 'greedy', 'implementation']",1946,1750.0,3031,D
Tree Cutting,PROGRAMMING,1600,"['binary search', 'dp', 'greedy', 'implementation', 'trees']",1946,1500.0,7101,C
Median of an Array,PROGRAMMING,800,"['greedy', 'implementation', 'sortings']",1946,500.0,19729,A
Cook and Porridge,PROGRAMMING,2500,"['binary search', 'constructive algorithms', 'data structures', 'implementation']",1945,,479,G
Non-Palindromic Substring,PROGRAMMING,2000,"['hashing', 'implementation', 'math', 'strings']",1943,1250.0,2691,B
Rudolf and the Ball Game,PROGRAMMING,1200,"['dfs and similar', 'dp', 'implementation']",1941,,15377,D
Three Arrays,PROGRAMMING,,"['*special', 'constructive algorithms', 'implementation', 'sortings']",1940,,159,B
Binary Path,PROGRAMMING,1300,"['dp', 'greedy', 'implementation']",1937,1000.0,12146,B
Shuffle Party,PROGRAMMING,800,"['implementation', 'math']",1937,500.0,20265,A
Pokémon Arena,PROGRAMMING,2400,"['data structures', 'graphs', 'greedy', 'implementation', 'shortest paths', 'sortings']",1936,1500.0,942,C
Pinball,PROGRAMMING,2000,"['binary search', 'data structures', 'implementation', 'math', 'two pointers']",1936,1000.0,2168,B
Andrey's Tree,PROGRAMMING,2800,"['binary search', 'constructive algorithms', 'data structures', 'dfs and similar', 'dsu', 'greedy', 'implementation', 'trees']",1935,3000.0,311,F
Exam in MAC,PROGRAMMING,1800,"['binary search', 'combinatorics', 'implementation', 'math']",1935,1750.0,6707,D
Turtle vs. Rabbit Race: Optimal Trainings,PROGRAMMING,1500,"['binary search', 'implementation', 'math', 'ternary search']",1933,,8929,E
Turtle Fingers: Count the Values of k,PROGRAMMING,1100,"['brute force', 'implementation', 'math', 'number theory']",1933,,19446,C
Turtle Math: Fast Three Task,PROGRAMMING,800,"['implementation', 'math', 'number theory']",1933,,28573,B
Final Countdown,PROGRAMMING,1600,"['implementation', 'math', 'number theory']",1932,,6137,E
Card Game,PROGRAMMING,1400,"['greedy', 'implementation']",1932,,9117,D
LR-remainders,PROGRAMMING,1400,"['brute force', 'data structures', 'implementation', 'math', 'two pointers']",1932,,12672,C
Thorns and Coins,PROGRAMMING,800,"['dp', 'greedy', 'implementation']",1932,,25362,A
Sum over all Substrings (Hard Version),PROGRAMMING,2100,"['bitmasks', 'divide and conquer', 'dp', 'dsu', 'greedy', 'implementation', 'strings']",1930,1000.0,2253,D2
Digital Patterns,PROGRAMMING,2900,"['combinatorics', 'data structures', 'implementation', 'math']",1928,2750.0,195,F
Microcycle,PROGRAMMING,1900,"['data structures', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'implementation', 'sortings', 'trees']",1927,,3529,F
Vlad and Trouble at MIT,PROGRAMMING,1900,"['dfs and similar', 'dp', 'flows', 'graphs', 'greedy', 'implementation', 'trees']",1926,,2671,G
Vlad and Avoiding X,PROGRAMMING,2200,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'implementation']",1926,,1349,F
Vlad and an Odd Ordering,PROGRAMMING,1500,"['binary search', 'bitmasks', 'data structures', 'dp', 'implementation', 'math', 'number theory']",1926,,9168,E
Vlad and a Sum of Sum of Digits,PROGRAMMING,1200,"['dp', 'implementation']",1926,,21644,C
Vlad and Shapes,PROGRAMMING,800,"['geometry', 'implementation']",1926,,28370,B
Vlad and the Best of Five,PROGRAMMING,800,['implementation'],1926,,39488,A
Space Harbour,PROGRAMMING,2100,"['data structures', 'implementation', 'math', 'sortings']",1924,1000.0,2174,B
Shrink-Reverse,PROGRAMMING,2800,"['binary search', 'brute force', 'greedy', 'hashing', 'implementation', 'string suffix structures', 'strings']",1923,,292,F
Monsters Attack!,PROGRAMMING,1100,"['dp', 'greedy', 'implementation']",1923,,15354,B
Moving Chips,PROGRAMMING,800,"['greedy', 'implementation']",1923,,22394,A
Berserk Monsters,PROGRAMMING,1900,"['brute force', 'data structures', 'dsu', 'implementation', 'math']",1922,,4986,D
Closest Cities,PROGRAMMING,1300,"['greedy', 'implementation', 'math']",1922,,16346,C
Tricky Template,PROGRAMMING,800,"['constructive algorithms', 'implementation', 'strings']",1922,,25428,A
Mischievous Shooter,PROGRAMMING,2200,"['brute force', 'data structures', 'divide and conquer', 'dp', 'implementation']",1921,,1056,G
Sum of Progression,PROGRAMMING,1900,"['brute force', 'data structures', 'dp', 'implementation', 'math']",1921,,3283,F
Arranging Cats,PROGRAMMING,800,"['greedy', 'implementation']",1921,,31355,B
Array Repetition,PROGRAMMING,1900,"['binary search', 'brute force', 'dsu', 'implementation', 'math']",1920,2000.0,4914,D
Counting Prefixes,PROGRAMMING,2600,"['combinatorics', 'constructive algorithms', 'dp', 'implementation', 'math']",1919,2250.0,740,E
Caterpillar on a Tree,PROGRAMMING,2500,"['dfs and similar', 'graphs', 'greedy', 'implementation', 'sortings', 'trees']",1918,3000.0,710,F
ace5 and Task Order,PROGRAMMING,2200,"['constructive algorithms', 'divide and conquer', 'implementation', 'interactive', 'probabilities', 'sortings']",1918,2500.0,1417,E
Blocking Elements,PROGRAMMING,1900,"['binary search', 'data structures', 'dp', 'implementation', 'two pointers']",1918,2000.0,4048,D
XOR-distance,PROGRAMMING,1400,"['bitmasks', 'greedy', 'implementation', 'math']",1918,1250.0,12054,C
Minimize Inversions,PROGRAMMING,900,"['constructive algorithms', 'data structures', 'greedy', 'implementation', 'sortings']",1918,1000.0,21506,B
Brick Wall,PROGRAMMING,800,"['constructive algorithms', 'greedy', 'implementation', 'math']",1918,500.0,28128,A
Yet Another Inversions Problem,PROGRAMMING,2300,"['combinatorics', 'data structures', 'dp', 'implementation', 'math', 'number theory']",1917,2250.0,1597,D
Watering an Array,PROGRAMMING,1600,"['brute force', 'greedy', 'implementation', 'math']",1917,1500.0,9077,C
Training Before the Olympiad,PROGRAMMING,1200,"['constructive algorithms', 'games', 'greedy', 'implementation', 'math']",1916,1250.0,16311,C
2023,PROGRAMMING,800,"['constructive algorithms', 'implementation', 'math', 'number theory']",1916,250.0,24163,A
Bicycles,PROGRAMMING,1800,"['graphs', 'greedy', 'implementation', 'shortest paths', 'sortings']",1915,,5170,G
Unnatural Language Processing,PROGRAMMING,900,"['greedy', 'implementation', 'strings']",1915,,26731,D
Can I Square?,PROGRAMMING,800,"['binary search', 'implementation']",1915,,36071,C
Not Quite Latin Square,PROGRAMMING,800,"['bitmasks', 'brute force', 'implementation']",1915,,37258,B
Odd One Out,PROGRAMMING,800,"['bitmasks', 'implementation']",1915,,47344,A
Three Activities,PROGRAMMING,1200,"['brute force', 'dp', 'greedy', 'implementation', 'sortings']",1914,,17164,D
Problemsolving Log,PROGRAMMING,800,"['implementation', 'strings']",1914,,28990,A
Rating Increase,PROGRAMMING,800,['implementation'],1913,,21782,A
Evaluate It and Back Again,PROGRAMMING,2200,"['constructive algorithms', 'implementation', 'math']",1912,,715,E
Accumulator Apex,PROGRAMMING,1900,"['data structures', 'implementation', 'sortings']",1912,,1707,A
Poisonous Swamp,PROGRAMMING,1600,"['*special', '*special', 'implementation', 'implementation']",1910,,548,C
Username,PROGRAMMING,1100,"['*special', 'implementation']",1910,,1481,A
Distinct Buttons,PROGRAMMING,800,"['implementation', 'math']",1909,500.0,15424,A
Lights,PROGRAMMING,2200,"['brute force', 'constructive algorithms', 'dfs and similar', 'graphs', 'greedy', 'implementation']",1907,,1691,G
YetnotherrokenKeoard,PROGRAMMING,1000,"['data structures', 'implementation', 'strings']",1907,,22544,B
Rook,PROGRAMMING,800,['implementation'],1907,,33059,A
Cyclic MEX,PROGRAMMING,2000,"['data structures', 'implementation', 'math', 'two pointers']",1905,2000.0,3345,D
Beautiful Tree,PROGRAMMING,2800,"['data structures', 'dfs and similar', 'graphs', 'implementation', 'trees']",1904,3500.0,284,F
Tree Queries,PROGRAMMING,2500,"['data structures', 'dfs and similar', 'graphs', 'implementation', 'trees']",1904,2750.0,770,E
Set To Max (Hard Version),PROGRAMMING,1800,"['constructive algorithms', 'data structures', 'divide and conquer', 'greedy', 'implementation', 'sortings']",1904,750.0,3615,D2
Forked!,PROGRAMMING,900,"['brute force', 'implementation']",1904,500.0,14783,A
Trees and XOR Queries Again,PROGRAMMING,2400,"['data structures', 'dfs and similar', 'divide and conquer', 'graphs', 'implementation', 'math', 'trees']",1902,,852,F
Robot Queries,PROGRAMMING,1900,"['binary search', 'data structures', 'dp', 'implementation']",1902,,3516,D
Yet Another Monster Fight,PROGRAMMING,1700,"['binary search', 'dp', 'greedy', 'implementation', 'math']",1901,,5902,D
Local Deletions,PROGRAMMING,2800,"['binary search', 'data structures', 'implementation']",1900,3000.0,247,F
Transitive Graph,PROGRAMMING,2100,"['dfs and similar', 'dp', 'dsu', 'graphs', 'implementation']",1900,2250.0,1707,E
Cover in Water,PROGRAMMING,800,"['constructive algorithms', 'greedy', 'implementation', 'strings']",1900,500.0,20234,A
Queue Sort,PROGRAMMING,1300,"['greedy', 'implementation', 'sortings']",1899,,13470,E
250 Thousand Tons of TNT,PROGRAMMING,1100,"['brute force', 'implementation', 'number theory']",1899,,17432,B
Milica and String,PROGRAMMING,800,"['brute force', 'implementation', 'strings']",1898,500.0,14750,A
Pepe Racing,PROGRAMMING,3200,"['constructive algorithms', 'implementation', 'interactive', 'sortings']",1896,3250.0,221,G
Bracket Xoring,PROGRAMMING,2600,"['constructive algorithms', 'greedy', 'implementation', 'math']",1896,2750.0,624,F
Torn Lucky Ticket,PROGRAMMING,1400,"['brute force', 'dp', 'hashing', 'implementation', 'math']",1895,,9809,C
Secret Sport,PROGRAMMING,800,"['implementation', 'strings']",1894,500.0,17754,A
Freedom of Choice,PROGRAMMING,2000,"['brute force', 'greedy', 'implementation']",1893,1250.0,2351,C
Anonymous Informant,PROGRAMMING,1400,"['brute force', 'dfs and similar', 'graphs', 'implementation']",1893,500.0,10931,A
Brukhovich and Exams,PROGRAMMING,2500,"['brute force', 'greedy', 'implementation', 'math', 'sortings']",1891,2000.0,761,E
Qingshan Loves Strings,PROGRAMMING,800,"['constructive algorithms', 'implementation']",1890,750.0,16437,B
Game of Stacks,PROGRAMMING,3000,"['brute force', 'dfs and similar', 'graphs', 'implementation', 'trees']",1889,2000.0,492,D
Qingshan Loves Strings 2,PROGRAMMING,1300,"['constructive algorithms', 'greedy', 'implementation']",1889,750.0,11754,A
Decreasing String,PROGRAMMING,1600,"['implementation', 'strings']",1886,,9850,C
Hard Design,PROGRAMMING,2800,"['greedy', 'implementation', 'math']",1884,3000.0,253,E
Perfect Square,PROGRAMMING,1200,"['brute force', 'implementation']",1881,,15506,C
Interactive Game with Coloring,PROGRAMMING,2400,"['brute force', 'constructive algorithms', 'dfs and similar', 'graphs', 'implementation', 'interactive', 'trees']",1879,,1162,E
wxhtzdy ORO Tree,PROGRAMMING,2300,"['binary search', 'bitmasks', 'brute force', 'data structures', 'dfs and similar', 'implementation', 'trees']",1878,,1059,G
Jellyfish and Game,PROGRAMMING,1200,"['brute force', 'games', 'greedy', 'implementation']",1874,500.0,15432,A
1D Eraser,PROGRAMMING,800,"['greedy', 'implementation', 'two pointers']",1873,,31886,D
Target Practice,PROGRAMMING,800,"['implementation', 'math']",1873,,33779,C
Short Sort,PROGRAMMING,800,"['brute force', 'implementation']",1873,,46974,A
Selling a Menagerie,PROGRAMMING,1800,"['dfs and similar', 'dsu', 'graphs', 'implementation', 'math']",1872,,5627,F
The Corridor or There and Back Again,PROGRAMMING,900,"['greedy', 'implementation']",1872,,26197,B
Prefix Purchase,PROGRAMMING,1800,"['greedy', 'implementation', 'sortings']",1870,1750.0,6253,D
Colorful Table,PROGRAMMING,1300,"['binary search', 'data structures', 'dp', 'implementation', 'math', 'two pointers']",1870,1500.0,10519,C
LIS?,PROGRAMMING,3500,"['data structures', 'greedy', 'implementation']",1868,3000.0,67,F
Flower-like Pseudotree,PROGRAMMING,3000,"['constructive algorithms', 'graphs', 'greedy', 'implementation', 'trees']",1868,1750.0,241,D
Travel Plan,PROGRAMMING,2400,"['combinatorics', 'dp', 'implementation', 'math', 'trees']",1868,1000.0,1050,C
Candy Party (Hard Version),PROGRAMMING,2100,"['bitmasks', 'constructive algorithms', 'dp', 'greedy', 'implementation', 'math']",1868,750.0,2244,B2
Candy Party (Easy Version),PROGRAMMING,1700,"['bitmasks', 'constructive algorithms', 'graphs', 'greedy', 'implementation', 'math']",1868,500.0,6289,B1
Fill in the Matrix,PROGRAMMING,1300,"['constructive algorithms', 'implementation']",1868,500.0,10944,A
Cyclic Operations,PROGRAMMING,1800,"['brute force', 'constructive algorithms', 'dfs and similar', 'graphs', 'greedy', 'implementation']",1867,2000.0,5229,D
Keen Tree Calculation,PROGRAMMING,2500,"['binary search', 'data structures', 'dp', 'geometry', 'graphs', 'implementation', 'trees']",1866,,399,K
Magic Square,PROGRAMMING,3100,"['combinatorics', 'constructive algorithms', 'implementation']",1864,3000.0,238,G
Exotic Queries,PROGRAMMING,2300,"['data structures', 'implementation', 'sortings']",1864,2500.0,1288,F
Increasing and Decreasing,PROGRAMMING,800,"['constructive algorithms', 'greedy', 'implementation', 'math']",1864,500.0,19635,A
MEX Repetition,PROGRAMMING,1100,"['implementation', 'math']",1863,1000.0,13173,C
Channel,PROGRAMMING,800,"['greedy', 'implementation']",1863,500.0,17252,A
Flower City Fence,PROGRAMMING,1100,"['binary search', 'data structures', 'implementation', 'sortings']",1862,,19326,C
Gift Carpet,PROGRAMMING,800,"['dp', 'greedy', 'implementation', 'strings']",1862,,30167,A
Non-Intersecting Subpermutations,PROGRAMMING,2300,"['combinatorics', 'dp', 'implementation', 'math']",1861,,1583,E
Queries for the Array,PROGRAMMING,1600,"['data structures', 'dfs and similar', 'implementation', 'strings', 'trees']",1861,,9250,C
Evaluate RBS,PROGRAMMING,2900,"['data structures', 'geometry', 'implementation', 'math', 'sortings']",1860,,260,F
Maximum Rounding,PROGRAMMING,1100,"['greedy', 'implementation', 'math']",1857,,21811,B
PermuTree (hard version),PROGRAMMING,2700,"['bitmasks', 'dfs and similar', 'dp', 'fft', 'greedy', 'implementation', 'math', 'trees']",1856,1500.0,1288,E2
Good Arrays,PROGRAMMING,900,"['implementation', 'math']",1856,750.0,22749,B
Tales of a Sort,PROGRAMMING,800,['implementation'],1856,500.0,25563,A
Vlad and the Mountains,PROGRAMMING,2000,"['binary search', 'data structures', 'dsu', 'graphs', 'implementation', 'sortings', 'trees', 'two pointers']",1851,,2829,G
Prefix Permutation Sums,PROGRAMMING,1300,"['implementation', 'math']",1851,,14080,D
The Third Letter,PROGRAMMING,1700,"['dfs and similar', 'dsu', 'graphs', 'greedy', 'implementation']",1850,,7315,H
The Morning Star,PROGRAMMING,1500,"['combinatorics', 'data structures', 'geometry', 'implementation', 'math', 'sortings']",1850,,10923,G
We Were Both Children,PROGRAMMING,1300,"['brute force', 'implementation', 'math', 'number theory']",1850,,16670,F
Cardboard for Pictures,PROGRAMMING,1100,"['binary search', 'geometry', 'implementation', 'math']",1850,,20183,E
Balanced Round,PROGRAMMING,900,"['brute force', 'greedy', 'implementation', 'sortings']",1850,,30987,D
Word on the Paper,PROGRAMMING,800,"['implementation', 'strings']",1850,,39810,C
Ten Words of Wisdom,PROGRAMMING,800,"['implementation', 'sortings']",1850,,39358,B
To My Critics,PROGRAMMING,800,"['implementation', 'sortings']",1850,,49217,A
Morning Sandwich,PROGRAMMING,800,"['implementation', 'math']",1849,,26700,A
Vika and Stone Skipping,PROGRAMMING,2600,"['brute force', 'implementation', 'math', 'number theory']",1848,2250.0,731,E
Vika and the Bridge,PROGRAMMING,1200,"['binary search', 'data structures', 'greedy', 'implementation', 'math', 'sortings']",1848,1000.0,12942,B
Triangle Platinum?,PROGRAMMING,2900,"['brute force', 'combinatorics', 'implementation', 'interactive', 'math', 'probabilities']",1847,2750.0,310,E
Professor Higashikata,PROGRAMMING,1900,"['data structures', 'dsu', 'greedy', 'implementation', 'strings']",1847,2000.0,3520,D
Rudolph and Mimic,PROGRAMMING,1800,"['constructive algorithms', 'implementation', 'interactive']",1846,,2800,F
Rudolf and Snowflakes (hard version),PROGRAMMING,1800,"['binary search', 'brute force', 'implementation', 'math']",1846,,6441,E2
